cik,ticker,title
789019,MSFT,MICROSOFT CORP
320193,AAPL,Apple Inc.
1018724,AMZN,AMAZON COM INC
1652044,GOOG,Alphabet Inc.
1652044,GOOGL,Alphabet Inc.
1326801,FB,Facebook Inc
1067983,BRKA,BERKSHIRE HATHAWAY INC
1067983,BRKB,BERKSHIRE HATHAWAY INC
1577552,BABA,Alibaba Group Holding Ltd
1403161,V,VISA INC.
19617,JPM,JPMORGAN CHASE & CO
200406,JNJ,JOHNSON & JOHNSON
104169,WMT,Walmart Inc.
800921,NSRGF,NESTLE SA /FI
80424,PG,PROCTER & GAMBLE Co
34088,XOM,EXXON MOBIL CORP
1141391,MA,Mastercard Inc
884394,SPY,SPDR S&P 500 ETF TRUST
70858,BAC,BANK OF AMERICA CORP /DE/
732717,T,AT&T INC.
354950,HD,"HOME DEPOT, INC."
1744489,DIS,Walt Disney Co
732712,VZA,VERIZON COMMUNICATIONS INC
732712,VZ,VERIZON COMMUNICATIONS INC
21344,KO,COCA COLA CO
93410,CVX,CHEVRON CORP
1306965,RYDAF,Royal Dutch Shell plc
731766,UNH,UNITEDHEALTH GROUP INC
1306965,RYDBF,Royal Dutch Shell plc
1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD
310158,MRK,"Merck & Co., Inc."
50863,INTC,INTEL CORP
72971,WFC,WELLS FARGO & COMPANY/MN
1114448,NVS,NOVARTIS AG
12927,BA,BOEING CO
824046,LVMHF,LVMH MOET HENNESSY LOUIS VUITTON
1166691,CMCSA,COMCAST CORP
824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON
858877,CSCO,"CISCO SYSTEMS, INC."
1341439,ORCL,ORACLE CORP
78003,PFE,PFIZER INC
1668717,BUD,Anheuser-Busch InBev SA/NV
77476,PEP,PEPSICO INC
1094517,TM,TOYOTA MOTOR CORP/
1341439,ORCL,ORACLE CORP
1117795,CHL,CHINA MOBILE LTD /ADR/
936402,SHPG,Shire plc
63908,MCD,MCDONALDS CORP
217410,UL,UNILEVER PLC
1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC
110390,UN,UNILEVER N V
1108329,PTR,PETROCHINA CO LTD
831001,C,CITIGROUP INC
1089113,HSBC,HSBC HOLDINGS PLC
1800,ABT,ABBOTT LABORATORIES
1000184,SAP,SAP SE
1613103,MDT,Medtronic plc
1108524,CRM,"SALESFORCE.COM, INC."
796343,ADBE,ADOBE INC.
320187,NKE,"NIKE, Inc."
879764,TOT,TOTAL S.A.
1065280,NFLX,NETFLIX INC
909832,COST,COSTCO WHOLESALE CORP /NEW
811809,BHP,BHP Group Ltd
313807,BP,BP PLC
1633917,PYPL,"PayPal Holdings, Inc."
1467373,ACN,Accenture plc
318154,AMGN,AMGEN INC
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP
353278,NVO,NOVO NORDISK A S
773840,HON,HONEYWELL INTERNATIONAL INC
97476,TXN,TEXAS INSTRUMENTS INC
100885,UNP,UNION PACIFIC CORP
901832,AZN,ASTRAZENECA PLC
97745,TMO,THERMO FISHER SCIENTIFIC INC.
1730168,AVGO,Broadcom Inc.
101829,UTX,UNITED TECHNOLOGIES CORP /DE/
829224,SBUX,STARBUCKS CORP
1413329,PM,Philip Morris International Inc.
1171264,BBL,BHP Group Plc
1000275,RY,ROYAL BANK OF CANADA
1173957,EADSF,EUROPEAN AERONAUTIC DEFENCE & SPACE CO EADS N V
936468,LMT,LOCKHEED MARTIN CORP
59478,LLY,LILLY ELI & CO
1121404,SNY,Sanofi
753308,NEE,NEXTERA ENERGY INC
1090727,UPS,UNITED PARCEL SERVICE INC
